# CJK部首補助または康煕部首を解決する一覧
# Version 2020-08-06
# monokano (tama-san.com) 作成
#
# CJK部首補助または康煕部首をCJK統合漢字またはCJK互換漢字に1対1で置換する一覧です。
# Adobe-Japan1（https://github.com/adobe-type-tools/Adobe-Japan1）のaj17-kanji.txt（Version 2019-07-12）から作成しました。
# aj17-kanji.txtの「18 = UniJIS-UTF32-H CMap file (CMapVersion=1.024)」「19 = UniJIS2004-UTF32-H CMap file (CMapVersion=1.019)」をベースにしています。
#
# AJ1のCMapには、1つのグリフに複数のコードポイントをマッピングしているものがあります。
# そこにCJK部首補助または康煕部首が含まれているものを抽出し、CJK統合漢字またはCJK互換漢字へ1対1で置換する一覧を作成しました。
# UniJISとUniJIS2004はどちらも同じ結果でした。
#
# CJK部首補助または康煕部首は、272文字が対象です。
# CJK互換漢字は4文字あります（FA49, FA5E, FA5D, FA66）。
#
# 1 = CJK部首補助または康煕部首のコードポイント
# 2 = CJK部首補助または康煕部首
# 3 = CJK統合漢字またはCJK互換漢字のコードポイント
# 4 = CJK統合漢字またはCJK互換漢字
# 5 = 注記
#
2E83	⺃	4E5A	乚
2E85	⺅	4EBB	亻
2E87	⺇	20628	𠘨
2E89	⺉	5202	刂
2E8B	⺋	353E	㔾
2E8D	⺍	2D544	𭕄
2E8E	⺎	5140	兀
2E8F	⺏	5C23	尣
2E90	⺐	5C22	尢
2F2A	⼪	5C22	尢
2E92	⺒	5DF3	巳
2E93	⺓	5E7A	幺
2F33	⼳	5E7A	幺
2E94	⺔	5F51	彑
2E96	⺖	5FC4	忄
2E97	⺗	38FA	㣺
2E98	⺘	624C	扌
2E99	⺙	6535	攵
2E9B	⺛	65E1	旡
2E9E	⺞	6B7A	歺
2E9F	⺟	6BCD	母
2EA0	⺠	6C11	民
2EA1	⺡	6C35	氵
2EA3	⺣	706C	灬
2EA4	⺤	FA49	爫	CJK互換漢字
2EA6	⺦	4E2C	丬
2EA8	⺨	72AD	犭
2EAA	⺪	24D14	𤴔
2EAB	⺫	7F52	罒
2EB2	⺲	7F52	罒
2EAD	⺭	793B	礻
2EAE	⺮	25AD7	𥫗
2EB1	⺱	7F53	罓
2EB3	⺳	2626A	𦉪
2EB9	⺹	8002	耂
2EBD	⺽	26951	𦥑
2EBE	⺾	8279	艹
2EBF	⺿	FA5E	艹	CJK互換漢字
2EC0	⻀	FA5D	艹	CJK互換漢字
2EC1	⻁	864E	虎
2EC2	⻂	8864	衤
2EC3	⻃	8980	覀
2EC4	⻄	897F	西
2ECA	⻊	27FB7	𧾷
